Mask1.RESP[Trial],Mask2.RESP[Trial],Mask3.RESP[Trial],Mask4.RESP[Trial],Mask5.RESP[Trial],Mask6.RESP[Trial],Mask7.RESP[Trial],Mask8.RESP[Trial],Mask9.RESP[Trial],Mask10.RESP[Trial],Mask11.RESP[Trial],Mask12.RESP[Trial],Mask13.RESP[Trial],Mask14.RESP[Trial],Mask15.RESP[Trial],Mask16.RESP[Trial],Mask17.RESP[Trial],Mask18.RESP[Trial],Mask1.RT[Trial],Mask2.RT[Trial],Mask3.RT[Trial],Mask4.RT[Trial],Mask5.RT[Trial],Mask6.RT[Trial],Mask7.RT[Trial],Mask8.RT[Trial],Mask9.RT[Trial],Mask10.RT[Trial],Mask11.RT[Trial],Mask12.RT[Trial],Mask13.RT[Trial],Mask14.RT[Trial],Mask15.RT[Trial],Mask16.RT[Trial],Mask17.RT[Trial],Mask18.RT[Trial]
0,0,0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,25,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,257,0,0,0,0
0,0,0,0,{SPACE},0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,337,0,82,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,82,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},{SPACE},{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,53,0,213,277,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,265,0,25,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,222,0,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,25,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,82,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,25,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,25,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,25,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,309,214,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,25,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,257,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,92,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,17,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,37,0,25,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,186,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,79,0,25,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,343,16,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,318,252,0,0,0,0,37,0,25,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,372,0,185,366,0,0,0,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,214,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,319,36,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,213,277,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,337,0,82,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,303,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,{SPACE},0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,291,0,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,258,0,0,0,89,0,49,0,0,257,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,17,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,186,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,185,366,0,0,0,0,0,257,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,269,185,366,0,0,0,0,0,257,0,0,0,0
0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,89,0,49,0,0,257,0,0,0,0
